,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Storeys,Has Basement,Grid_X,Grid_Y,Bays_X,Bays_Y
0,10886.430213121981,466.9481469939042,330.94160651903684,855.2802685069527,1186.2218750259894,1255.6800934191208,12014.736759686728,13200.958634712719,RC Flat Slab,22043191.4236,60588.0,77272454.83927865,154.30233996528577,200.84899814570565,Residential,4,No,9.0,9.0,17.0,11.0
1,8941.853250802997,395.0192491967981,287.2121411259668,742.3179137906266,1029.5300549165936,848.8057636093324,9883.038960084097,10912.569015000692,PT RC Flat Slab,25092247.5834,60588.0,68627200.73618795,175.64573308368074,166.01777073294676,Residential,4,No,9.0,9.0,17.0,11.0
2,9490.586761693363,419.0734525460059,290.2459265213257,750.1548159544951,1040.4007424758208,1111.7829646590171,10486.720246139563,11527.120988615385,RC Rib Slab,24230647.6392,60588.0,69372916.428398,169.61453347428503,175.88193668075934,Residential,4,No,9.0,9.0,17.0,11.0
3,9447.322494585964,419.7344915317147,281.4103102112965,727.3305711397151,1008.7408813510117,1227.9129873425143,10440.192133882896,11448.93301523391,Two-way RC Slab,20044388.1588,60588.0,67578018.13283624,140.31071711137741,174.6303368817963,Residential,4,No,9.0,9.0,17.0,11.0
4,10737.002669735073,459.15158643653666,335.47930746564026,867.0020990694652,1202.4814065351054,1098.6697899845838,11850.029070968802,13052.510477503907,One-Way Spanning RC,21968253.7868,60588.0,78218291.91148321,153.77777650775244,198.12185329564522,Residential,4,No,9.0,9.0,17.0,11.0
5,8973.592485159888,383.84200480479035,285.50300644531205,737.902861461067,1023.4058679063791,718.7368646944233,9756.592701006579,10779.998568912957,Precast Hollowcore with In-situ RC Beams,22356928.5032,60588.0,68388381.32622181,156.49849952257878,163.61476200780945,Residential,4,No,9.0,9.0,17.0,11.0
6,8724.659646179369,585.7825398124145,237.54749501125048,614.1121159672563,851.6596109785066,-416.335987908202,9596.470291539652,10448.12990251816,Non-Composite Rolled Steel with PCC Planks,29408262.1072,60588.0,58880465.82952076,205.8578347501389,161.78662649847809,Residential,4,No,9.0,9.0,17.0,11.0
7,9580.292209752011,653.744377368322,197.65246513023288,511.11808465597,708.7705497862029,-1458.3456712752911,10598.281506782645,11307.05205656885,Composite Rolled Steel with Metal Decking,29937887.673,60588.0,50766800.329922885,209.5652137111305,178.38262891156293,Residential,4,No,9.0,9.0,17.0,11.0
8,9891.604071859914,692.4618706987429,198.8710346119748,514.2774805938184,713.1485152057935,-1518.7982097324857,10954.169484326247,11667.317999532039,Composite Cell Beams with Metal Decking,32032421.4734,60588.0,51007750.05273551,224.2269503140779,184.4985217310412,Residential,4,No,9.0,9.0,17.0,11.0
9,6364.9385403753095,1204.8715384589148,120.05944394410541,7949.3613276903825,8069.420771634489,-3046.809864174068,7838.084532651375,8310.844753827148,Steel Frame with CLT Slabs,29245100.1994,60588.0,35194495.31281002,204.71570139611012,132.74576209888897,Residential,4,No,9.0,9.0,17.0,11.0
