,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Storeys,Has Basement,Grid_X,Grid_Y,Bays_X,Bays_Y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,362880.0,0.0,0.0,,Education,15,No,7.0,16.0,12.0,18.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,362880.0,0.0,0.0,,Education,15,No,7.0,16.0,12.0,18.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,362880.0,0.0,0.0,,Education,15,No,7.0,16.0,12.0,18.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,362880.0,0.0,0.0,,Education,15,No,7.0,16.0,12.0,18.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,362880.0,0.0,0.0,,Education,15,No,7.0,16.0,12.0,18.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,362880.0,0.0,0.0,,Education,15,No,7.0,16.0,12.0,18.0
6,95694.567408156,6468.75362508779,2229.581337027712,5761.353421922484,7990.934758950196,-7217.219773858308,104991.23994905167,112982.17470800185,Non-Composite Rolled Steel with PCC Planks,240679153.9103,362880.0,488071532.27208924,1684.75407737241,293.970442092218,Education,15,No,7.0,16.0,12.0,18.0
7,77436.36809501129,6260.375966536434,1213.5710017051688,3137.2520266183083,4350.823028323476,-15191.855591762684,86171.99782741285,90522.82085573635,Composite Rolled Steel with Metal Decking,242084231.7915,362880.0,269481747.5944923,1694.589622540315,242.13675994806317,Education,15,No,7.0,16.0,12.0,18.0
8,80941.32176084685,6682.85634148695,1236.2094531373668,3195.855013101451,4432.064466238818,-15976.08722810846,90174.38849374617,94606.45295998498,Composite Cell Beams with Metal Decking,268196431.2203,362880.0,274052611.833492,1877.3750185423944,253.66998322389927,Education,15,No,7.0,16.0,12.0,18.0
9,65659.80089584028,10092.155041586866,812.0832543541527,41750.75567316555,42562.8389275197,-25378.802179709965,77754.91563252923,80885.5343765627,Steel Frame with CLT Slabs,264451998.466,362880.0,190363046.94075418,1851.1639892618996,219.3730148307736,Education,15,No,7.0,16.0,12.0,18.0
10,48197.41869989731,9757.425333081132,846.4685340280504,84392.2254424849,85238.69397651295,-27341.77866770381,60247.906840652206,63734.73937716516,"CLT, Glulam and Steel Column Hybrid",225411227.4225,362880.0,195598310.32805568,1577.8785919573456,170.3752905440078,Education,15,No,7.0,16.0,12.0,18.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,189540.0,0.0,0.0,,Residential,9,No,9.0,15.0,13.0,12.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,189540.0,0.0,0.0,,Residential,9,No,9.0,15.0,13.0,12.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,189540.0,0.0,0.0,,Residential,9,No,9.0,15.0,13.0,12.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,189540.0,0.0,0.0,,Residential,9,No,9.0,15.0,13.0,12.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,189540.0,0.0,0.0,,Residential,9,No,9.0,15.0,13.0,12.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,189540.0,0.0,0.0,,Residential,9,No,9.0,15.0,13.0,12.0
6,38608.66910850403,2586.388394745236,926.0867951454678,2393.3107851504715,3319.3975802959394,-2957.8373104624065,42243.42559381041,45562.82317410635,Non-Composite Rolled Steel with PCC Planks,104467694.1586,189540.0,202647971.82879424,731.2738591102718,226.73155773409667,Residential,9,No,9.0,15.0,13.0,12.0
7,31525.748061734335,2325.522371807186,538.1472601418512,1391.3128155954769,1929.460075737328,-5933.217368548735,34909.26901009937,36838.729085836705,Composite Rolled Steel with Metal Decking,97224336.1057,189540.0,124389983.83903101,680.5703527397231,187.76954396348575,Residential,9,No,9.0,15.0,13.0,12.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,189540.0,,,,Residential,9,No,9.0,15.0,13.0,12.0
9,24320.471750885554,4448.921105870615,308.4870066403015,24694.59094477155,25003.077951411844,-11955.51617754815,29561.295337968233,30799.41916093971,Steel Frame with CLT Slabs,107808408.9056,189540.0,77619303.2322503,754.6588623388529,159.9448886794718,Residential,9,No,9.0,15.0,13.0,12.0
10,17763.104381605957,4222.405938112023,309.7385080146574,38996.4627762131,39306.20128422774,-12319.267724798143,22855.558373008975,24176.427337236735,"CLT, Glulam and Steel Column Hybrid",106909584.6322,189540.0,77910559.84419738,748.3670924255072,124.5326868493958,Residential,9,No,9.0,15.0,13.0,12.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,18144.0,0.0,0.0,,Residential,2,Yes,6.0,14.0,9.0,8.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,18144.0,0.0,0.0,,Residential,2,Yes,6.0,14.0,9.0,8.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,18144.0,0.0,0.0,,Residential,2,Yes,6.0,14.0,9.0,8.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,18144.0,0.0,0.0,,Residential,2,Yes,6.0,14.0,9.0,8.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,18144.0,0.0,0.0,,Residential,2,Yes,6.0,14.0,9.0,8.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,18144.0,0.0,0.0,,Residential,2,Yes,6.0,14.0,9.0,8.0
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,18144.0,,,,Residential,2,Yes,6.0,14.0,9.0,8.0
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,18144.0,,,,Residential,2,Yes,6.0,14.0,9.0,8.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,18144.0,,,,Residential,2,Yes,6.0,14.0,9.0,8.0
9,,,,,,,,,Steel Frame with CLT Slabs,,18144.0,,,,Residential,2,Yes,6.0,14.0,9.0,8.0
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,18144.0,,,,Residential,2,Yes,6.0,14.0,9.0,8.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,132000.0,0.0,0.0,,Education,11,No,8.0,15.0,10.0,10.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,132000.0,0.0,0.0,,Education,11,No,8.0,15.0,10.0,10.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,132000.0,0.0,0.0,,Education,11,No,8.0,15.0,10.0,10.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,132000.0,0.0,0.0,,Education,11,No,8.0,15.0,10.0,10.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,132000.0,0.0,0.0,,Education,11,No,8.0,15.0,10.0,10.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,132000.0,0.0,0.0,,Education,11,No,8.0,15.0,10.0,10.0
6,31115.262432680367,2103.5149710550754,733.674763896131,1895.9473876151603,2629.6221515112916,-2300.6129592105945,34138.24830364864,36767.87045515992,Non-Composite Rolled Steel with PCC Planks,81698611.4645,132000.0,161695171.8772424,571.8902802515067,262.9555953325769,Education,11,No,8.0,15.0,10.0,10.0
7,26780.593858700493,2080.752387450775,444.5905294893526,1149.3350748109647,1593.9256043003174,-4924.279088458737,29755.904838589824,31349.830442890143,Composite Rolled Steel with Metal Decking,82484824.6628,132000.0,101580803.2141109,577.3937726396958,229.79771675173876,Education,11,No,8.0,15.0,10.0,10.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,132000.0,,,,Education,11,No,8.0,15.0,10.0,10.0
9,20361.468689117442,3264.7312841743296,263.3612118763612,15104.30879665625,15367.670008532608,-8274.437699418373,24276.764454565495,25300.703576247957,Steel Frame with CLT Slabs,84878389.2227,132000.0,63715308.65833861,594.148724558697,188.416008932759,Education,11,No,8.0,15.0,10.0,10.0
10,17355.10924518978,3782.4256582140824,297.6812580378959,34252.7584288525,34550.43968689041,-10815.541776704318,21976.617128671325,23228.10321556173,"CLT, Glulam and Steel Column Hybrid",97580860.9447,132000.0,70675496.8277511,683.0660266126363,171.6642663279088,Education,11,No,8.0,15.0,10.0,10.0
