,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Has Basement,Has Transfer Deck,Grid_X,Grid_Y,Bays_X,Bays_Y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,47190.0,0.0,0.0,,Healthcare,0.0,21,Yes,Yes,11.0,13.0,3.0,5.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,47190.0,0.0,0.0,,Healthcare,0.0,21,Yes,Yes,11.0,13.0,3.0,5.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,47190.0,0.0,0.0,,Healthcare,0.0,21,Yes,Yes,11.0,13.0,3.0,5.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,47190.0,0.0,0.0,,Healthcare,0.0,21,Yes,Yes,11.0,13.0,3.0,5.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,47190.0,0.0,0.0,,Healthcare,0.0,21,Yes,Yes,11.0,13.0,3.0,5.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,47190.0,0.0,0.0,,Healthcare,0.0,21,Yes,Yes,11.0,13.0,3.0,5.0
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,47190.0,,,,Healthcare,,21,Yes,Yes,11.0,13.0,3.0,5.0
7,77.682012408,5.380572288000001,0.16923581274600002,0.4371714984,0.6064073111460001,0.0,87.49704127237877,88.10344858352475,Composite Rolled Steel with Metal Decking,,47190.0,33628.5768,0.0,,Healthcare,0.0,21,Yes,Yes,11.0,13.0,3.0,5.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,47190.0,,,,Healthcare,,21,Yes,Yes,11.0,13.0,3.0,5.0
9,18446.77181053888,1786.139909751604,394.25446335920867,5706.2792293979155,6100.533692757124,-2591.484751256899,21067.14616449768,22505.967319028507,Steel Frame with CLT Slabs,51267497.7724,47190.0,103358438.06471895,358.87248440662694,454.03726740632146,Healthcare,129.5721,21,Yes,Yes,11.0,13.0,3.0,5.0
10,5.388708124800001,0.3732438528,0.0117396855576,0.03032606304,0.0420657485976,0.0,6.069564917088474,6.111630665686073,"CLT, Glulam and Steel Column Hybrid",,47190.0,2332.77408,0.0,,Healthcare,0.0,21,Yes,Yes,11.0,13.0,3.0,5.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,819000.0,0.0,0.0,,Education,0.0,25,No,Yes,9.0,13.0,20.0,14.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,819000.0,0.0,0.0,,Education,0.0,25,No,Yes,9.0,13.0,20.0,14.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,819000.0,0.0,0.0,,Education,0.0,25,No,Yes,9.0,13.0,20.0,14.0
3,240002.88992228493,9162.163444060647,6084.4589430233245,15718.271040555745,21802.729983579058,40029.672556579535,263504.6490835535,285307.3790671326,Two-way RC Slab,356563539.1437,819000.0,1285975442.0752125,2495.9447740060887,324.7870498871302,Education,140.625,25,No,Yes,9.0,13.0,20.0,14.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,819000.0,0.0,0.0,,Education,0.0,25,No,Yes,9.0,13.0,20.0,14.0
5,207014.0184218318,7512.780324496052,6011.27771009989,15529.228610748565,21540.506320848457,19903.37954823363,224844.5058101324,246385.0121309808,Precast Hollowcore with In-situ RC Beams,334660701.5457,819000.0,1268836779.0907505,2342.6249108200636,277.395764006047,Education,133.125,25,No,Yes,9.0,13.0,20.0,14.0
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,819000.0,,,,Education,,25,No,Yes,9.0,13.0,20.0,14.0
