,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Storeys,Has Basement,Grid_X,Grid_Y,Bays_X,Bays_Y
0,23425.091213197342,863.5751593437998,691.2842522031359,1785.8180640002251,2477.102316203361,2359.7380048499213,25705.15160972428,28182.25392592764,RC Flat Slab,35594326.4093,63840.0,144813275.3535812,249.1602848654136,406.5525046145002,Office,19,No,7.0,12.0,4.0,10.0
1,18248.174510042507,676.8514350864072,549.0420679149652,1418.3767533700773,1967.4188212850424,1687.691936717457,20030.370021892453,21997.788843177495,PT RC Flat Slab,35578562.1845,63840.0,116034758.23383088,249.04993529128475,317.6600870486174,Office,19,No,7.0,12.0,4.0,10.0
2,16141.585014475,602.4911001629841,466.9831427380011,1206.4013877862656,1673.3845305242667,1799.159023841648,17718.62252034842,19392.00705087269,RC Rib Slab,33379889.3085,63840.0,98394963.63352355,233.65922515923538,281.20742082562117,Office,19,No,7.0,12.0,4.0,10.0
3,19511.806882904737,741.8423855624692,501.72853849035323,1296.156011687026,1797.884550177379,3157.790281767995,21420.72947650889,23218.614026686264,Two-way RC Slab,36923681.2791,63840.0,105554549.87571332,258.46576895383924,339.58639168957905,Office,19,No,7.0,12.0,4.0,10.0
4,16965.38762164514,630.4361360701349,493.30496762717803,1274.3961664368962,1767.7011340640747,1847.4034401258646,18620.520698863544,20388.22183292762,One-Way Spanning RC,32315059.0655,63840.0,103592979.84588687,226.2054134583738,295.2181408571729,Office,19,No,7.0,12.0,4.0,10.0
5,17196.56429521071,621.238146799951,504.34236348050865,1302.9080682934882,1807.250431773997,1618.1222256177864,18700.767523927352,20508.017955701354,Precast Hollowcore with In-situ RC Beams,31603428.2719,63840.0,105494851.68947789,221.22399790354822,296.39711030436877,Office,19,No,7.0,12.0,4.0,10.0
6,18440.72254271135,1144.9732210049235,448.54422421361784,1158.9759444120016,1607.5201686256196,-898.6509578328046,20265.868226913455,21873.38839553908,Non-Composite Rolled Steel with PCC Planks,47657339.3311,63840.0,93799661.77904598,333.60137531780055,322.6733960249257,Office,19,No,7.0,12.0,4.0,10.0
7,15950.693398425388,984.1423974902485,329.0514435098642,850.3174763026332,1179.368919812497,-1653.290024373383,17599.605222500744,18778.974142313244,Composite Rolled Steel with Metal Decking,42869472.0229,63840.0,69748272.41848059,300.08630416041456,280.3836392020858,Office,19,No,7.0,12.0,4.0,10.0
8,,,,,,,,,Composite Cell Beams with Metal Decking,,63840.0,,,,Office,19,No,7.0,12.0,4.0,10.0
9,13642.230421592425,1614.530329251886,259.3067135358735,7645.712112045116,7905.018825580989,-3327.5247940427234,15839.515404601803,16807.384383087992,Steel Frame with CLT Slabs,45817338.9114,63840.0,55601199.397495866,320.72137238011965,253.13654099282462,Office,19,No,7.0,12.0,4.0,10.0
