,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Storeys,Has Basement,Grid_X,Grid_Y,Bays_X,Bays_Y
0,6557.245058482959,246.05420221950615,197.86715696731702,511.19633104579543,709.0634880131126,626.9802626706686,7200.722275354076,7909.78576336719,RC Flat Slab,11077712.4862,22464.0,41917217.69277231,77.54398740329047,323.99689559995403,Residential,9,No,6.0,13.0,2.0,16.0
1,5738.688854760441,216.21329229508598,176.8122979005581,456.80722665078974,633.6195245513478,497.85626203168886,6303.377343650104,6936.996868201451,PT RC Flat Slab,12282184.9057,22464.0,37677601.89950795,85.97529433980601,284.42631045183003,Residential,9,No,6.0,13.0,2.0,16.0
2,4189.6301288375,161.68731356660066,127.82521874760722,330.2633560122678,458.08857475987503,399.0530868894568,4605.578743766186,5063.6673185260615,RC Rib Slab,10254752.9778,22464.0,27662708.76876302,71.78327084451708,208.2159016475562,Residential,9,No,6.0,13.0,2.0,16.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,22464.0,0.0,0.0,,Residential,9,No,6.0,13.0,2.0,16.0
4,4302.091367647303,166.04996934037533,129.64578383388437,334.966256384171,464.61204021805537,433.86327977913254,4728.941842761566,5193.55388297962,One-Way Spanning RC,10176246.6027,22464.0,28018112.537667356,71.23372621879741,213.68302924592072,Residential,9,No,6.0,13.0,2.0,16.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,22464.0,0.0,0.0,,Residential,9,No,6.0,13.0,2.0,16.0
6,5302.833423783285,325.89696564785805,133.1856351434042,344.16548821903604,477.3511233624401,-232.79304211697527,5815.76985249769,6293.120975860132,Non-Composite Rolled Steel with PCC Planks,15010642.5653,22464.0,28799578.78325683,105.0744979569266,263.57035035855665,Residential,9,No,6.0,13.0,2.0,16.0
7,4536.84804734495,281.2915938748506,92.77247599502336,239.7790282139666,332.5515042089899,-528.4422804841225,5002.725564556902,5335.277068765893,Composite Rolled Steel with Metal Decking,13506426.3894,22464.0,20666887.78780689,94.54498472607042,226.90841120383604,Residential,9,No,6.0,13.0,2.0,16.0
8,4935.702704647401,330.36760672384855,95.70050864216701,247.35733921150415,343.0578478536711,-631.0494062615953,5458.660613627394,5801.718461481068,Composite Cell Beams with Metal Decking,15566951.8256,22464.0,21255779.741745908,108.96866277920708,247.84674485428246,Residential,9,No,6.0,13.0,2.0,16.0
9,3607.9197580306036,473.5249990801426,64.77745171397524,2244.398044957161,2309.175496671135,-1029.6345282519142,4227.456822252877,4471.135071217591,Steel Frame with CLT Slabs,14610036.4906,22464.0,15014655.201362338,102.27025543440267,192.74069968337247,Residential,9,No,6.0,13.0,2.0,16.0
10,3137.121328940534,490.3136350625531,69.92200618322505,4097.89531200826,4167.817318191484,-1175.8352240599556,3793.386754661031,4065.584284052516,"CLT, Glulam and Steel Column Hybrid",16005582.794,22464.0,16054594.784883812,112.03907955806801,173.85264575405532,Residential,9,No,6.0,13.0,2.0,16.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,13104.0,0.0,0.0,,Healthcare,13,No,6.0,14.0,3.0,4.0
1,5181.943888860603,197.1003177605466,157.84651679721844,407.776444490005,565.6229612872235,449.692915345425,5693.270026668898,6258.892987956121,PT RC Flat Slab,9472655.9039,13104.0,34349223.57756566,66.30859132736332,439.5282828141225,Healthcare,13,No,6.0,14.0,3.0,4.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,13104.0,0.0,0.0,,Healthcare,13,No,6.0,14.0,3.0,4.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,13104.0,0.0,0.0,,Healthcare,13,No,6.0,14.0,3.0,4.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,13104.0,0.0,0.0,,Healthcare,13,No,6.0,14.0,3.0,4.0
5,4673.5647493164915,174.2587750656837,137.7584450320419,355.8847538894494,493.6431989214914,443.2191107467027,5098.323959355482,5591.967158276972,Precast Hollowcore with In-situ RC Beams,8279862.7555,13104.0,29653879.84047283,57.95903928846796,393.4892398232563,Healthcare,13,No,6.0,14.0,3.0,4.0
6,4483.371957116191,281.37868535991265,108.68728775999706,280.8373379090455,389.5246256690425,-193.97105434928156,4934.419030560797,5323.943656229839,Non-Composite Rolled Steel with PCC Planks,11904153.612,13104.0,23391930.128501035,83.32907528428065,382.91728524458773,Healthcare,13,No,6.0,14.0,3.0,4.0
7,3852.8702375379594,241.62994544523957,81.60453337412433,210.87891026582543,292.4834436399497,-343.8255977376799,4259.689089103442,4552.1725327433915,Composite Rolled Steel with Metal Decking,10608084.0683,13104.0,18020794.268860243,74.25658847798678,330.734560254993,Healthcare,13,No,6.0,14.0,3.0,4.0
8,4296.440918416126,300.39179782845974,84.12447543640666,217.40644282428934,301.530918260696,-481.796202424492,4769.031856505548,5070.562774766243,Composite Cell Beams with Metal Decking,12888092.144,13104.0,18522912.157972857,90.21664500808072,370.82177209353085,Healthcare,13,No,6.0,14.0,3.0,4.0
9,3626.976991602257,401.82395513418106,65.13604051085284,1379.8995490407792,1445.0355895516327,-770.1873066722262,4172.78421133754,4412.946406393759,Steel Frame with CLT Slabs,13125932.808,13104.0,14332626.6799188,91.88152965612497,325.4476298072089,Healthcare,13,No,6.0,14.0,3.0,4.0
10,3302.0159973503487,400.0375909565853,77.05061164861655,2996.285356908917,3073.335968557533,-816.1003137885642,3877.093286091823,4168.629766649358,"CLT, Glulam and Steel Column Hybrid",11324797.8401,13104.0,16767850.695745913,79.273584880687,301.92054876163843,Healthcare,13,No,6.0,14.0,3.0,4.0
0,12585.04585732457,764.6580281256078,373.46351157028886,964.9068866953778,1338.3703982656666,1348.0266398362776,14111.568744008382,15449.939142274046,RC Flat Slab,24364686.3273,53760.0,133052833.27437979,170.55280429130653,265.66446332402694,Healthcare,7,Yes,7.0,8.0,6.0,20.0
1,11113.767410250894,711.2620759863314,339.9658831807837,878.3755068516485,1218.3413900324324,1046.7371111223395,12499.668131995852,13718.00952202828,PT RC Flat Slab,26673465.7577,53760.0,126598299.58609483,186.71426030419846,235.98181533296224,Healthcare,7,Yes,7.0,8.0,6.0,20.0
2,10976.786454064957,709.5123999772997,322.84159787588754,834.1398965260355,1156.9814944019229,1241.669191080518,12350.390335450811,13507.371829852733,RC Rib Slab,25663955.3777,53760.0,122991348.70948331,179.64768764416397,233.07362394149882,Healthcare,7,Yes,7.0,8.0,6.0,20.0
3,11277.874976115043,725.1998563457389,319.25937393005046,824.8862628855223,1144.145636815573,1469.4995193600853,12683.208642539772,13827.354279355348,Two-way RC Slab,23384126.7258,53760.0,122515150.30900158,163.68888708080857,238.9675879765733,Healthcare,7,Yes,7.0,8.0,6.0,20.0
4,11563.364587347383,730.5784958654173,342.0203932445747,883.6827360278602,1225.703129272435,1269.0686679950486,12993.819256585713,14219.522385858148,One-Way Spanning RC,24323544.5391,53760.0,127024495.38487655,170.2648117733835,244.867635200132,Healthcare,7,Yes,7.0,8.0,6.0,20.0
5,11539.830953480927,717.5944649532372,346.18863936928506,894.4501875174246,1240.6388268867097,1053.2663416262826,12841.451421153053,14082.090248039762,Precast Hollowcore with In-situ RC Beams,25082246.25,53760.0,127847023.88101573,175.57572375007774,242.13220135608503,Healthcare,7,Yes,7.0,8.0,6.0,20.0
6,10915.563666499918,873.641603381936,296.9936470777072,767.4439316580084,1064.4375787357153,-8.711144596455682,12253.41396026413,13317.851538999848,Non-Composite Rolled Steel with PCC Planks,30697323.4228,53760.0,118204193.8490164,214.8812639593084,231.92513437915622,Healthcare,7,Yes,7.0,8.0,6.0,20.0
7,11484.557137678352,944.814395676407,256.8075136933831,663.6944126265504,920.5019263199337,-932.4987191924807,12936.831855996612,13857.333782316544,Composite Rolled Steel with Metal Decking,31843570.7102,53760.0,109340091.5852463,222.90499497165283,244.78677178140376,Healthcare,7,Yes,7.0,8.0,6.0,20.0
8,11724.541020119002,987.3080247458126,254.7408671681971,658.3700567921645,913.1109239603617,-1036.3815283299923,13218.016134484868,14131.127058445227,Composite Cell Beams with Metal Decking,33884650.0476,53760.0,108896193.64174023,237.19255033321616,250.2828996431935,Healthcare,7,Yes,7.0,8.0,6.0,20.0
9,9022.764096242565,1338.8566132096921,193.4938401827345,5640.010339872261,5833.504180054996,-2056.7976805154576,10782.270174640393,11504.190256836067,Steel Frame with CLT Slabs,31453510.6256,53760.0,96400436.6827172,220.17457437905526,204.6585704802725,Healthcare,7,Yes,7.0,8.0,6.0,20.0
