,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Has Basement,Has Transfer Deck,Grid_X,Grid_Y
0,72904.70810202477,2724.5745514986806,2145.4597446182415,5542.721162214502,7688.180906832743,7692.112801017179,80037.82387586815,87726.00478270095,RC Flat Slab,107198485.6391,278460.0,452173588.34254104,750.3893994734362,290.12502074029163,Residential,62.075,13,No,No,10,10
1,74521.80524316456,2782.675330561284,2271.1635936728258,5867.44049409917,8138.604087771998,6608.099381167448,81824.29034638935,89962.89443416137,PT RC Flat Slab,139803131.4347,278460.0,482074907.66182756,978.6219200429689,297.3601675875613,Residential,62.4,13,No,No,10,10
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,278460.0,0.0,0.0,,Residential,0.0,13,No,No,10,10
3,68813.83934683506,2658.9637958904336,1716.8403488796748,4435.507621310107,6152.347970189782,12195.575278398632,75580.69962133662,81733.0475915264,Two-way RC Slab,106838010.6795,278460.0,363290618.71757346,747.866074756256,274.10962327118034,Residential,70.2,13,No,No,10,10
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,278460.0,0.0,0.0,,Residential,0.0,13,No,No,10,10
5,55181.99040699076,2011.3309692200655,1635.6312701757292,4225.72758690349,5861.35885707922,4842.599946431535,59759.398814179716,65620.75767125894,Precast Hollowcore with In-situ RC Beams,98700748.1375,278460.0,347212762.71875834,690.9052369627235,217.08792663629404,Residential,65.64999999999999,13,No,No,10,10
6,56070.03972846369,3775.0344903354703,1319.4951288080981,3409.820968984543,4729.316097792641,-4426.9443428766635,61420.81337152707,66150.12946931973,Non-Composite Rolled Steel with PCC Planks,152400882.8854,278460.0,284220232.6177242,1066.806180197593,224.40429344151642,Residential,72.8117,13,No,No,10,10
7,50441.074600816835,3931.5978959719578,796.8492856748178,2060.070933981891,2856.9202196567094,-10064.933178461888,55981.4665045251,58838.3867241818,Composite Rolled Steel with Metal Decking,158265720.6234,278460.0,177761068.31617928,1107.8600443637397,205.0180512421491,Residential,68.0836,13,No,No,10,10
8,54245.73375893985,4427.432691546027,816.8000968041882,2111.758865004924,2928.5589618091126,-11133.937938725394,60345.28571570222,63273.844677511326,Composite Cell Beams with Metal Decking,181839519.3535,278460.0,181751107.96438718,1272.8766354743295,221.28191607834717,Residential,69.12204,13,No,No,10,10
9,38910.274760931236,6630.182365868694,450.1424579345583,31590.745668560838,32040.888126495396,-17489.882766132225,46702.895723055386,48485.0315559728,Steel Frame with CLT Slabs,167038607.6404,278460.0,107847441.07725188,1169.2702534828002,171.91756796860656,Residential,68.76870000000001,13,No,No,10,10
