,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Storeys,Has Basement,Grid_X,Grid_Y,Bays_X,Bays_Y
0,1693.132371612824,79.83780024471189,56.122822460035636,145.07557650659794,201.1983989666336,155.42809306959924,1876.7873294839462,2077.9857284505806,RC Flat Slab,3769204.2726,7680.0,14043091.841368506,26.384429908449476,247.8088228375515,Residential,2,No,6.0,10.0,8.0,8.0
1,1412.2523656958952,69.71884096780082,48.83881917576607,126.25947264261292,175.09829181837893,112.06327297654717,1568.9821134559752,1744.080405274354,PT RC Flat Slab,3988811.258,7680.0,12595699.23644658,27.92167880618773,207.93018128413578,Residential,2,No,6.0,10.0,8.0,8.0
2,1215.7855786809969,63.26420887388635,41.81645985201929,108.1192498490296,149.93570970104892,112.41761742173705,1353.971368420365,1503.9070781214145,RC Rib Slab,3752384.7088,7680.0,11203393.81336925,26.266692961469047,179.71849757575964,Residential,2,No,6.0,10.0,8.0,8.0
3,1413.1484189114378,71.70087050226643,42.73850160298056,110.50107652811487,153.23957813109544,209.69511464390771,1570.8530576172257,1724.0926357483213,Two-way RC Slab,3660143.0196,7680.0,11387643.360313706,25.621001137310166,207.8742264003302,Residential,2,No,6.0,10.0,8.0,8.0
4,1237.6382331744467,64.14173254057698,42.09644315055499,108.84250526501847,150.93894841557346,120.35627054106874,1377.9594176748628,1528.898366090437,One-Way Spanning RC,3549547.8048,7680.0,11259028.845368395,24.84683463376493,182.65706410268592,Residential,2,No,6.0,10.0,8.0,8.0
5,1448.8150752237955,69.71827794548376,48.47490477212096,125.31940562872593,173.79431040084685,116.37928240065042,1588.6851148712253,1762.479425272072,Precast Hollowcore with In-situ RC Beams,3872966.16,7680.0,12523386.389224505,27.11076312025413,210.39008828014056,Residential,2,No,6.0,10.0,8.0,8.0
6,1311.7451521996068,85.54384966771755,40.71740496825618,105.28889204433605,146.00629701259223,-15.16167248412809,1447.520530909275,1593.526827921867,Non-Composite Rolled Steel with PCC Planks,4450312.9693,7680.0,10986706.092330718,31.15219078523915,192.53551063730654,Residential,2,No,6.0,10.0,8.0,8.0
7,1358.8219519878312,89.10728985449481,34.51179071283866,89.26512773339165,123.77691844623031,-135.379987393753,1507.7703026841168,1631.547221130347,Composite Rolled Steel with Metal Decking,4442311.425,7680.0,9757205.167917917,31.09617997534091,200.3732399296169,Residential,2,No,6.0,10.0,8.0,8.0
8,1463.0798597367132,103.35200155772189,34.903242372131416,90.28074864571525,125.1839910178467,-167.46159682230447,1627.6941357369935,1752.8781267548402,Composite Cell Beams with Metal Decking,4993006.0186,7680.0,9833265.633297786,34.95104213034211,216.49025753480933,Residential,2,No,6.0,10.0,8.0,8.0
9,987.8968844542308,147.83163892507986,24.678891946147523,773.9260764689856,798.604968415133,-289.24613714399607,1181.5940735339188,1274.0461367502749,Steel Frame with CLT Slabs,4646680.4501,7680.0,7814140.062422534,32.52676315102592,158.08865061001885,Residential,2,No,6.0,10.0,8.0,8.0
10,892.0049638427465,159.9208616831978,25.34598959303666,1268.2389583790293,1293.5849479720662,-353.50912764615896,1101.9542515853605,1199.499007557427,"CLT, Glulam and Steel Column Hybrid",5235858.6939,7680.0,7947770.006008642,36.65101085746549,148.25589354724298,Residential,2,No,6.0,10.0,8.0,8.0
0,6512.324258034996,459.1911479311875,193.81652997380664,500.79317686940215,694.6097068432088,720.2671407874712,7365.992275375289,8060.601982218497,RC Flat Slab,14464091.757,29106.0,80431530.96595967,101.24864229878035,256.55331951055,Healthcare,5,Yes,7.0,7.0,9.0,11.0
