Project Ref,"Calculation Design
Stage",UK District,GIFA (m2),Project Value (£m),Value Type,Project Sector,Construction Type,Storeys (#),Passivhaus?,Basement Type,Foundation Type,Ground Floor Type,Superstructure Type,Cladding Type,"Carbon A1-A3
(kgCO2e)","Carbon A1-A5
(kgCO2e)","Carbon A1-C4
(kgCO2e)","Carbon A1-D
(kgCO2e)","A1-A3 Rate
(kgCO2e/m2)","A1-A5 Rate
(kgCO2e/m2)","A1-C4 Rate
(kgCO2e/m2)","A1-D Rate
(kgCO2e/m2)","Construction Carbon
(A1-A5) (kgCO2e)","Construction %
Carbon (A1-A5)","Concrete Total Mass
(kg)","Concrete Total
Carbon (A1-A5)
(kgCO2e)","Concrete % Carbon
(A1-A5)","Masonry & Blockwork
Total Area (m2)","Masonry & Blockwork
Total Carbon (A1-A5)
(kgCO2e)","Masonry % Blockwork
% Carbon (A1-A5)","Reinforcement Total
Mass (kg)","Reinforcement Total
Carbon (A1-A5)
(kgCO2e)","Reinforcement %
Carbon (A1-A5)","Steel (Other) Total
Mass (kg)","Steel (Other) Total
Carbon (A1-A5)
(kgCO2e)","Steel (Other) %
Carbon (A1-A5)","Steel (Sections) Total
Mass (kg)","Steel (Sections) Total
Carbon (A1-A5)
(kgCO2e)","Steel (Sections) %
Carbon (A1-A5)","Timber (Plain) Total
Mass (kg)","Timber (Plain) Total
Carbon (A1-A5)
(kgCO2e)","Timber (Plain) %
Carbon (A1-A5)","Timber (Products)
Total Mass (kg)","Timber (Products)
Total Carbon (A1-A5)
(kgCO2e)","Timber (Products) %
Carbon (A1-A5)",Project Sector_Commercial,Project Sector_Cultural/Public,Project Sector_Educational,Project Sector_Healthcare,Project Sector_Industrial,Project Sector_Mixed Use,Project Sector_Other,Project Sector_Residential (Multi),Project Sector_Residential (Single),Project Sector_Science/Lab
94,As-Built,MK18,1311,3.3,Whole Building,Educational,Mixed New Build/Refurb,2,No,None,Mass Pads/Strips,Suspended RC,Steel Frame/Composite,Glazed/Curtain Wall,307109,359069,393150,356857,234.3,273.9,299.9,272.2,23100,0.064,2076510,197451,0.55,16,1754,0.005,16685,35528,0.099,2314,7183,0.02,58718,93838,0.261,433,215,0.001,0,0,0.0,0,0,1,0,0,0,0,0,0,0
95,Stage 3,CB2,800,2.0,Whole Building,Educational,Mixed New Build/Refurb,4,No,None,Mass Pads/Strips,Suspended RC,Other,Masonry Only,82635,110375,117019,95493,103.3,138.0,146.3,119.4,14000,0.127,257230,31693,0.287,16,1743,0.016,11226,23905,0.217,0,0,0.0,5425,8670,0.079,0,0,0.0,50291,30365,0.275,0,0,1,0,0,0,0,0,0,0
96,As-Built,HP4,340,1.1,Whole Building,Residential (Single),New Build (Brownfield),2,No,Partial Footprint,Mass Pads/Strips,Suspended RC,Concrete (In-Situ),Other,65609,80461,88045,75641,193.0,236.6,259.0,222.5,7700,0.096,395600,36452,0.453,15,737,0.009,13340,28405,0.353,0,0,0.0,3400,5434,0.068,2800,1392,0.017,500,340,0.004,0,0,0,0,0,0,0,0,1,0
97,Stage 5,LE1,686,5.0,Whole Building,Cultural/Public,Mixed New Build/Refurb,4,Yes,Partial Footprint,Other,Suspended RC,Concrete (In-Situ),Stone,363819,431262,450694,386477,530.3,628.7,657.0,563.4,35000,0.081,1619280,216950,0.503,15,948,0.002,77238,164465,0.381,0,0,0.0,8007,12796,0.03,2218,1103,0.003,0,0,0.0,0,1,0,0,0,0,0,0,0,0
98,As-Built,SE22,4631,17.0,Whole Building,Healthcare,New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended RC,Concrete (In-Situ),Masonry/SFS,1164255,1392456,1492315,1306862,251.4,300.7,322.2,282.2,119000,0.085,6406200,763877,0.549,13,625,0.0,229010,487639,0.35,0,0,0.0,13338,21316,0.015,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
99,As-Built,WD4,234,1.0,Whole Building,Residential (Single),New Build (Brownfield),2,No,None,Piles (Pile Caps),Suspended RC,Timber Frame (Glulam/CLT),Other,39774,52217,62818,53675,170.0,223.1,268.5,229.4,7000,0.134,194052,20631,0.395,13,409,0.008,5998,12772,0.245,0,0,0.0,1948,3113,0.06,761,378,0.007,16646,7914,0.152,0,0,0,0,0,0,0,0,1,0
101,Stage 5,SW10,4640,10.0,Whole Building,Residential (Multi),New Build (Brownfield),7,No,None,Mass Pads/Strips,Suspended RC,Timber Frame (Glulam/CLT),Lightweight Only,820343,1031623,1088155,860653,176.8,222.3,234.5,185.5,70000,0.068,2591257,303424,0.294,0,0,0.0,118239,251770,0.244,0,0,0.0,45841,73259,0.071,0,0,0.0,551198,333170,0.323,0,0,0,0,0,0,0,1,0,0
102,As-Built,SW19,742,3.7,Whole Building,Cultural/Public,Mixed New Build/Refurb,2,No,None,Reinforced Pads/Strips,Ground Bearing RC,Steel Frame/Precast,Masonry/SFS,131643,174041,192960,170815,177.4,234.6,260.1,230.2,25900,0.149,654929,65348,0.375,0,0,0.0,3819,8132,0.047,0,0,0.0,37483,59902,0.344,29689,14758,0.085,0,0,0.0,0,1,0,0,0,0,0,0,0,0
103,As-Built,OX1,4180,18.0,Whole Building,Educational,New Build (Greenfield),5,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),SFS/Stone,1364617,1627204,1760425,1504019,326.5,389.3,421.2,359.8,126000,0.077,7892945,806507,0.496,0,0,0.0,316313,673536,0.414,0,0,0.0,7500,11986,0.007,18459,9176,0.006,0,0,0.0,0,0,1,0,0,0,0,0,0,0
105,As-Built,UB2,4500,8.0,Whole Building,Residential (Multi),New Build (Brownfield),6,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,925507,1065123,1126038,974381,205.7,236.7,250.2,216.5,56000,0.053,4521046,600246,0.564,0,0,0.0,191903,408625,0.384,0,0,0.0,158,253,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
106,As-Built,UB2,3900,8.0,Whole Building,Residential (Multi),New Build (Brownfield),6,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1046054,1197449,1263890,1104077,268.2,307.0,324.1,283.1,56000,0.047,5333202,710642,0.593,0,0,0.0,202261,430681,0.36,0,0,0.0,79,126,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
107,As-Built,OX4,1724,5.0,Whole Building,Educational,New Build (Brownfield),2,No,None,Piled Ground Beams,Suspended RC,Steel Frame/Composite,Masonry/SFS,527502,601682,630750,503138,306.0,349.0,365.9,291.8,35000,0.058,1402014,149060,0.248,0,0,0.0,78324,166778,0.277,18627,57822,0.096,120545,192645,0.32,760,378,0.001,0,0,0.0,0,0,1,0,0,0,0,0,0,0
108,As-Built,SE10,2772,21.0,Whole Building,Commercial,New Build (Brownfield),3,No,None,Piles (Pile Caps),Suspended RC,Steel Frame/Composite,Glazed/Curtain Wall,1062330,1282887,1327616,1107205,383.2,462.8,478.9,399.4,147000,0.115,2819311,356480,0.278,0,0,0.0,99800,212507,0.166,31780,98652,0.077,293000,468248,0.365,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
109,As-Built,W5,1555,5.0,Whole Building,Educational,New Build (Brownfield),4,Yes,Partial Footprint,Piled Ground Beams,Suspended RC,Timber Frame (Glulam/CLT),Masonry Only,206726,324065,344358,-406845,132.9,208.4,221.5,-261.6,35000,0.108,724400,97003,0.299,0,0,0.0,31261,66565,0.205,792,2459,0.008,3858,6166,0.019,0,0,0.0,418100,116874,0.361,0,0,1,0,0,0,0,0,0,0
110,As-Built,DT9,1874,11.0,Whole Building,Educational,New Build (Brownfield),2,No,None,Mass Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Masonry Only,519300,678534,713903,506346,277.1,362.1,381.0,270.2,77000,0.113,1629830,160328,0.236,0,0,0.0,87733,186813,0.275,0,0,0.0,46865,74896,0.11,2368,1177,0.002,296095,178321,0.263,0,0,1,0,0,0,0,0,0,0
111,As-Built,NW3,2349,11.0,Whole Building,Educational,New Build (Brownfield),9,No,Full Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1609361,1826838,1924483,1532081,685.1,777.7,819.3,652.2,77000,0.042,6271598,677447,0.371,0,0,0.0,487416,1037871,0.568,0,0,0.0,21600,34519,0.019,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
112,As-Built,SE25,7755,20.0,Whole Building,Educational,Mixed New Build/Refurb,3,No,None,Piled Ground Beams,Suspended RC,Steel Frame/Precast,Masonry/SFS,1577187,1838487,1928077,1676275,203.4,237.1,248.6,216.2,140000,0.076,6080786,836863,0.455,0,0,0.0,162571,346168,0.188,20618,64002,0.035,282320,451180,0.245,774,274,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
113,As-Built,SE25,2100,8.5,Whole Building,Educational,New Build (Brownfield),1,No,None,Piles (Pile Caps),Suspended RC,Steel Frame/Other,Masonry Only,457731,555326,584536,468825,218.0,264.4,278.4,223.2,59500,0.107,1392000,146933,0.265,0,0,0.0,73633,156789,0.282,25275,78459,0.141,71112,113645,0.205,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
115,As-Built,SE5,5705,5.0,Whole Building,Residential (Multi),New Build (Brownfield),4,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,1328977,1480047,1556650,1297156,232.9,259.4,272.9,227.4,35000,0.024,5548740,745223,0.504,0,0,0.0,328051,698529,0.472,0,0,0.0,643,1028,0.001,538,267,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
116,Stage 5,NW6,3460,15.0,Whole Building,Educational,New Build (Brownfield),2,No,None,Piled Ground Beams,Suspended RC,Timber Frame (Glulam/CLT),Masonry Only,936764,1184002,1234827,1000809,270.7,342.2,356.9,289.3,105000,0.089,2793100,374017,0.316,0,0,0.0,116327,247699,0.209,0,0,0.0,90435,144525,0.122,0,0,0.0,518007,312761,0.264,0,0,1,0,0,0,0,0,0,0
118,Stage 5,E3,9483,27.0,Whole Building,Mixed Use,New Build (Brownfield),10,No,None,Piles (Pile Caps),Ground Bearing RC,Concrete (In-Situ),Other,2608332,3036346,3203044,2822950,275.1,320.2,337.8,297.7,189000,0.062,13612812,1822856,0.6,0,0,0.0,481132,1024490,0.337,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0
120,Stage 5,E2,2276,7.0,Whole Building,Mixed Use,New Build (Brownfield),7,No,Full Footprint,Raft,Raft,Other,Masonry/Stone,581091,702367,732403,595064,255.3,308.6,321.8,261.5,49000,0.07,1916136,271791,0.387,0,0,0.0,120324,256210,0.365,0,0,0.0,10296,16454,0.023,0,0,0.0,180384,108912,0.155,0,0,0,0,0,1,0,0,0,0
122,Stage 3,CB1,4115,12.0,Whole Building,Educational,New Build (Brownfield),4,No,None,Piled Ground Beams,Suspended RC,Other,Other,636748,883243,924112,700834,154.7,214.6,224.6,170.3,84000,0.095,1195570,172862,0.196,0,0,0.0,53073,113011,0.128,0,0,0.0,6000,9589,0.011,0,0,0.0,834000,503782,0.57,0,0,1,0,0,0,0,0,0,0
123,As-Built,W1,1712,8.0,Whole Building,Commercial,New Build (Brownfield),6,No,Full Footprint,Piled Ground Beams,Suspended RC,Concrete (In-Situ),SFS/Stone,721007,845185,905559,759839,421.1,493.7,528.9,443.8,56000,0.066,3770966,396208,0.469,0,0,0.0,184324,392487,0.464,0,0,0.0,306,489,0.001,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
125,As-Built,OX2,2139,7.7,Whole Building,Educational,New Build (Brownfield),3,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/Stone,620941,733807,784204,644830,290.3,343.1,366.6,301.5,53900,0.073,2580000,278277,0.379,0,0,0.0,151280,322125,0.439,0,0,0.0,36145,57764,0.079,12201,6065,0.008,23023,15675,0.021,0,0,1,0,0,0,0,0,0,0
126,As-Built,OX2,1730,11.9,Whole Building,Educational,New Build (Brownfield),5,No,Full Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/Stone,810028,965429,1025328,871577,468.2,558.1,592.7,503.8,83300,0.086,3919200,426466,0.442,0,0,0.0,167149,355916,0.369,0,0,0.0,61044,97555,0.101,4410,2192,0.002,0,0,0.0,0,0,1,0,0,0,0,0,0,0
127,Stage 4,SW7,1074,30.0,Whole Building,Residential (Single),New Build (Greenfield),4,No,Full Footprint,Piles (Pile Caps),Ground Bearing RC,Concrete (In-Situ),Masonry/SFS,604464,865002,889417,757411,562.8,805.4,828.1,705.2,210000,0.243,2078968,299199,0.346,0,0,0.0,167096,355803,0.411,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
128,As-Built,MK18,1360,3.8,Whole Building,Educational,New Build (Brownfield),3,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Other,532911,605103,632685,527846,391.8,444.9,465.2,388.1,26600,0.044,2107296,282183,0.466,0,0,0.0,122834,261554,0.432,0,0,0.0,20606,32931,0.054,3692,1835,0.003,0,0,0.0,0,0,1,0,0,0,0,0,0,0
129,As-Built,MK18,862,4.5,Whole Building,Educational,New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended RC,Masonry/Concrete,Masonry/Stone,215408,267996,283492,245290,249.9,310.9,328.9,284.6,31500,0.118,778931,104305,0.389,0,0,0.0,27049,57596,0.215,0,0,0.0,36267,57959,0.216,8033,3993,0.015,12908,12643,0.047,0,0,1,0,0,0,0,0,0,0
130,As-Built,W1,2120,10.0,Whole Building,Commercial,New Build (Brownfield),8,No,Full Footprint,Raft,Other,Steel Frame/Composite,Masonry/Stone,648221,765965,790296,628054,305.8,361.3,372.8,296.3,70000,0.091,1405160,194810,0.254,0,0,0.0,124017,264073,0.345,20967,65086,0.085,107624,171995,0.225,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
131,Stage 5,N2,10108,38.0,Whole Building,Residential (Multi),New Build (Brownfield),4,No,Full Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,3999749,4626047,4856395,4079777,395.7,457.7,480.5,403.6,266000,0.058,17970925,2245970,0.486,0,0,0.0,896221,1908353,0.413,37284,115737,0.025,55614,88878,0.019,2232,1110,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
132,As-Built,SE26,1290,5.0,Whole Building,Healthcare,New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended RC,Steel Frame/Precast,Masonry/SFS,502663,572614,597212,510749,389.7,443.9,463.0,395.9,35000,0.061,1641394,209919,0.367,0,0,0.0,42398,90279,0.158,3078,9555,0.017,141363,225914,0.395,3917,1947,0.003,0,0,0.0,0,0,0,1,0,0,0,0,0,0
133,As-Built,E3,1513,10.0,Whole Building,Educational,New Build (Brownfield),3,No,None,Piled Ground Beams,Suspended RC,Steel Frame/Composite,Lightweight/SFS,393715,491580,514089,425485,260.2,324.9,339.8,281.2,70000,0.142,1030625,108475,0.221,0,0,0.0,29621,63073,0.128,18010,55907,0.114,121266,193797,0.394,927,329,0.001,0,0,0.0,0,0,1,0,0,0,0,0,0,0
134,As-Built,CO4,5428,12.0,Whole Building,Educational,New Build (Greenfield),3,No,None,Mass Pads/Strips,Ground Bearing RC,Steel Frame/Composite,Lightweight Only,940226,1092154,1154172,981019,173.2,201.2,212.6,180.7,84000,0.077,3364800,367619,0.337,0,0,0.0,74405,158433,0.145,17900,55565,0.051,266900,426537,0.391,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
135,Stage 5,W1,125,1.0,Whole Building,Residential (Single),New Build (Brownfield),5,No,None,Piled Ground Beams,Suspended RC,Steel Frame/Composite,Masonry/Stone,35602,45098,46823,39354,284.8,360.8,374.6,314.8,7000,0.155,92750,10987,0.244,0,0,0.0,1500,3194,0.071,1750,5432,0.12,11500,18378,0.408,300,106,0.002,0,0,0.0,0,0,0,0,0,0,0,0,1,0
137,As-Built,OX2,2395,6.0,Whole Building,Residential (Multi),New Build (Brownfield),5,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry/SFS,762800,874203,921098,798553,318.5,365.0,384.6,333.4,42000,0.048,3818159,501901,0.574,0,0,0.0,155120,330302,0.378,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
138,As-Built,SM2,10220,38.0,Whole Building,Educational,New Build (Brownfield),4,Yes,None,Reinforced Pads/Strips,Ground Bearing RC,Timber Frame (Glulam/CLT),Timber/SFS,2726136,3413059,3632936,2666348,266.7,334.0,355.5,260.9,266000,0.078,11051550,1161106,0.34,0,0,0.0,539350,1148456,0.336,0,0,0.0,24100,38515,0.011,0,0,0.0,1319661,798983,0.234,0,0,1,0,0,0,0,0,0,0
139,As-Built,SE1,5500,23.5,Whole Building,Cultural/Public,New Build (Greenfield),9,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,2544984,2931600,3095217,2447067,462.7,533.0,562.8,444.9,164500,0.056,9470640,1005373,0.343,0,0,0.0,809685,1724089,0.588,0,0,0.0,22152,35401,0.012,4500,2237,0.001,0,0,0.0,0,1,0,0,0,0,0,0,0,0
140,As-Built,SL9,1729,6.5,Whole Building,Cultural/Public,New Build (Brownfield),3,No,Partial Footprint,Piles (Pile Caps),Ground Bearing RC,Steel Frame/Precast,Masonry/SFS,747103,837819,872577,720686,432.1,484.6,504.7,416.8,45500,0.054,1833807,202038,0.241,0,0,0.0,69160,147265,0.176,4553,14133,0.017,268368,428883,0.512,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
141,As-Built,SE17,1850,7.0,Whole Building,Residential (Multi),New Build (Brownfield),6,No,None,Mass Pads/Strips,Suspended RC,Concrete (In-Situ),Masonry Only,554782,651202,678204,578219,299.9,352.0,366.6,312.6,49000,0.075,2238548,331726,0.509,0,0,0.0,125943,268175,0.412,0,0,0.0,1440,2301,0.004,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
142,As-Built,OX14,2054,7.0,Whole Building,Educational,New Build (Brownfield),3,No,None,Piles (Pile Caps),Suspended RC,Steel Frame/Precast,Masonry/SFS,298168,376397,409093,352347,145.2,183.3,199.2,171.5,49000,0.13,1732680,169287,0.45,0,0,0.0,62735,133584,0.355,2900,9002,0.024,9557,15273,0.041,504,251,0.001,0,0,0.0,0,0,1,0,0,0,0,0,0,0
143,As-Built,OX27,1210,4.0,Whole Building,Commercial,New Build (Greenfield),3,Yes,None,Raft,Raft,Concrete (In-Situ),Timber Only,349416,412026,430388,346332,288.8,340.5,355.7,286.2,28000,0.068,1276375,170095,0.413,0,0,0.0,59993,127745,0.31,27220,84496,0.205,0,0,0.0,3400,1690,0.004,0,0,0.0,1,0,0,0,0,0,0,0,0,0
144,Stage 5,CT2,2769,10.8,Whole Building,Educational,New Build (Brownfield),3,No,None,Mass Pads/Strips,Suspended RC,Timber Frame (Glulam/CLT),Other,611076,786529,834861,722648,220.7,284.0,301.5,261.0,75600,0.096,3221447,398943,0.507,0,0,0.0,54426,115891,0.147,0,0,0.0,2669,4265,0.005,0,0,0.0,317715,191829,0.244,0,0,1,0,0,0,0,0,0,0
146,As-Built,E16,3600,9.5,Whole Building,Educational,New Build (Brownfield),3,No,None,Raft,Raft,Concrete (In-Situ),Masonry/SFS,908467,1062347,1139600,943200,252.4,295.1,316.6,262.0,66500,0.063,4469110,475149,0.447,0,0,0.0,216677,461377,0.434,19110,59321,0.056,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
147,As-Built,OX1,763,4.7,Whole Building,Educational,New Build (Greenfield),3,No,Other,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Glazed/Curtain Wall,301751,359752,373474,302593,395.5,471.5,489.5,396.6,32900,0.091,1008225,133092,0.37,0,0,0.0,88012,187407,0.521,0,0,0.0,3975,6353,0.018,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0
148,Stage 4,NW8,810,4.5,Whole Building,Residential (Single),Mixed New Build/Refurb,4,No,Full Footprint,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Masonry Only,263883,318914,334776,286665,325.8,393.7,413.3,353.9,31500,0.099,1202784,153834,0.482,0,0,0.0,58000,123501,0.387,0,0,0.0,5888,9410,0.03,1345,669,0.002,0,0,0.0,0,0,0,0,0,0,0,0,1,0
149,As-Built,SL6,500,1.5,Whole Building,Healthcare,New Build (Greenfield),2,No,None,Piles (Pile Caps),Suspended RC,Concrete (In-Situ),Glazed/Curtain Wall,296935,331304,343162,270307,593.9,662.6,686.3,540.6,10500,0.032,883927,115780,0.349,0,0,0.0,84382,179677,0.542,1215,3772,0.011,13500,21575,0.065,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
150,As-Built,OX3,1900,11.0,Whole Building,Healthcare,New Build (Brownfield),3,No,Partial Footprint,Piles (Pile Caps),Suspended RC,Steel Frame/Precast,Glazed/Curtain Wall,590475,716628,769308,686536,310.8,377.2,404.9,361.3,77000,0.107,3172800,337327,0.471,0,0,0.0,54774,116632,0.163,0,0,0.0,116180,185669,0.259,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
